Latitude (decimal degrees):	50.947
Longitude (decimal degrees):	4.827
Elevation (m):	23
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050618:1010,557.55,714.26,57.36,22.54,2.76,0.0
20050618:1110,765.39,1008.63,61.82,23.24,2.76,0.0
20050618:1210,790.61,1050.29,61.88,23.95,2.76,0.0
20050618:1310,761.11,1007.11,57.49,24.58,2.83,0.0
20050618:1410,674.95,881.19,50.19,25.04,2.97,0.0
20050618:1510,537.94,693.29,41.43,25.25,3.17,0.0
20050618:1610,369.01,483.84,32.09,25.13,3.38,0.0
20050618:1710,165.66,254.59,22.68,24.66,3.45,0.0
20050618:1810,47.97,76.08,13.57,23.71,3.1,0.0
20050618:1910,19.71,38.48,5.09,22.31,3.17,0.0
20050618:2010,0.0,0.0,0.0,20.71,3.31,0.0
20050618:2110,0.0,0.0,0.0,19.52,3.24,0.0
20050618:2210,0.0,0.0,0.0,18.52,3.1,0.0
20050618:2310,0.0,0.0,0.0,17.63,2.97,0.0
20050619:0010,0.0,0.0,0.0,16.79,2.83,0.0
20050619:0110,0.0,0.0,0.0,16.0,2.69,0.0
20050619:0210,0.0,0.0,0.0,15.25,2.55,0.0
20050619:0310,0.0,0.0,0.0,14.58,2.41,0.0
20050619:0410,2.1,10.49,4.9,14.07,2.28,0.0
20050619:0510,28.5,48.97,13.36,14.65,2.07,0.0
20050619:0610,126.05,194.27,22.46,16.67,2.0,0.0
20050619:0710,314.11,404.22,31.87,19.45,2.28,0.0
20050619:0810,478.71,607.11,41.22,21.52,2.14,0.0
20050619:0910,613.18,795.37,50.0,23.45,2.07,0.0
20050619:1010,710.54,946.3,57.35,25.12,2.07,0.0
20050619:1110,762.14,1031.54,61.83,26.42,2.21,0.0
20050619:1210,766.78,1044.14,61.9,27.41,2.28,0.0
20050619:1310,734.01,996.61,57.53,28.16,2.28,0.0
20050619:1410,657.44,881.15,50.24,28.65,2.34,0.0
20050619:1510,525.12,694.34,41.48,28.9,2.41,0.0
20050619:1610,361.06,484.89,32.14,28.86,2.48,0.0
20050619:1710,162.81,255.55,22.73,28.4,2.21,0.0
20050619:1810,46.4,75.2,13.62,27.19,2.28,0.0
20050619:1910,19.38,38.48,5.13,25.41,2.69,0.0
20050619:2010,0.0,0.0,0.0,23.35,3.03,0.0
20050619:2110,0.0,0.0,0.0,21.9,3.03,0.0
20050619:2210,0.0,0.0,0.0,20.76,2.97,0.0
20050619:2310,0.0,0.0,0.0,19.76,2.9,0.0
20050620:0010,0.0,0.0,0.0,18.9,2.83,0.0
20050620:0110,0.0,0.0,0.0,18.2,2.83,0.0
20050620:0210,0.0,0.0,0.0,17.6,2.83,0.0
20050620:0310,0.0,0.0,0.0,17.06,2.76,0.0
20050620:0410,2.06,10.49,4.88,16.59,2.69,0.0
20050620:0510,28.82,49.84,13.34,17.06,2.48,0.0
20050620:0610,124.53,192.84,22.43,18.98,2.14,0.0
20050620:0710,302.25,394.23,31.84,22.16,2.14,0.0
20050620:0810,464.64,597.02,41.19,24.59,2.34,0.0
20050620:0910,595.12,781.66,49.98,26.64,2.28,0.0
20050620:1010,700.67,944.98,57.34,28.3,2.28,0.0
20050620:1110,731.73,1002.07,61.84,29.48,2.28,0.0
20050620:1210,740.5,1019.66,61.92,30.27,2.34,0.0
20050620:1310,718.6,986.07,57.56,30.84,2.41,0.0
20050620:1410,630.02,853.73,50.27,31.16,2.34,0.0
20050620:1510,513.4,687.75,41.52,31.24,2.28,0.0
20050620:1610,356.92,486.08,32.18,31.08,2.07,0.0
20050620:1710,159.99,258.75,22.77,30.4,1.52,0.0
20050620:1810,14.78,32.35,13.66,29.43,1.45,0.0
20050620:1910,17.36,35.85,5.17,27.27,2.48,0.0
20050620:2010,0.0,0.0,0.0,25.23,2.69,0.0
20050620:2110,0.0,0.0,0.0,23.5,2.62,0.0
20050620:2210,0.0,0.0,0.0,22.12,2.41,0.0
20050620:2310,0.0,0.0,0.0,21.05,2.28,0.0
20050621:0010,0.0,0.0,0.0,20.13,2.21,0.0
20050621:0110,0.0,0.0,0.0,19.4,2.07,0.0
20050621:0210,0.0,0.0,0.0,18.84,1.93,0.0
20050621:0310,0.0,0.0,0.0,18.41,1.86,0.0
20050621:0410,2.03,10.49,4.86,18.22,1.72,0.0
20050621:0510,7.5,20.11,13.31,18.42,1.66,0.0
20050621:0610,74.11,107.35,22.41,19.22,1.79,0.0
20050621:0710,184.6,240.97,31.81,19.39,1.59,0.0
20050621:0810,236.65,303.88,41.17,20.63,2.0,0.0
20050621:0910,186.43,244.49,49.95,21.75,2.14,0.0
20050621:1010,535.6,689.79,57.32,22.89,2.28,0.0
20050621:1110,646.3,846.72,61.83,24.08,2.48,0.0
20050621:1210,778.34,1044.01,61.94,25.34,2.55,0.0
20050621:1310,724.7,963.46,57.59,26.16,2.83,0.0
20050621:1410,440.11,570.41,50.31,26.44,2.97,0.0
20050621:1510,509.89,662.3,41.56,26.62,2.97,0.0
20050621:1610,375.4,495.89,32.22,26.41,3.24,0.0
20050621:1710,169.17,245.27,22.8,25.84,3.66,0.0
20050621:1810,59.43,90.94,13.69,24.84,3.59,0.0
20050621:1910,2.38,11.37,5.2,23.08,3.1,0.0
20050621:2010,0.0,0.0,0.0,21.73,2.97,0.0
20050621:2110,0.0,0.0,0.0,20.64,2.76,0.0
20050621:2210,0.0,0.0,0.0,19.69,2.69,0.0
20050621:2310,0.0,0.0,0.0,18.85,2.55,0.0
20050622:0010,0.0,0.0,0.0,18.44,2.07,0.0
20050622:0110,0.0,0.0,0.0,17.53,1.72,0.0
20050622:0210,0.0,0.0,0.0,16.51,1.38,0.0
20050622:0310,0.0,0.0,0.0,15.23,1.45,0.0
20050622:0410,0.86,7.87,4.83,14.39,1.59,0.0
20050622:0510,35.93,58.59,13.28,15.1,1.24,0.0
20050622:0610,125.88,189.45,22.37,17.43,1.31,0.0
20050622:0710,299.96,386.98,31.78,19.05,1.52,0.0
20050622:0810,469.11,595.62,41.13,20.61,1.59,0.0
20050622:0910,608.77,789.27,49.92,21.85,1.52,0.0
20050622:1010,685.84,912.44,57.3,22.89,1.31,0.0
20050622:1110,713.42,965.19,61.82,23.81,1.17,0.0
20050622:1210,745.21,1019.68,61.94,24.62,1.17,0.0
20050622:1310,711.77,963.56,57.61,25.28,1.45,0.0
20050622:1410,627.51,834.7,50.33,25.77,1.66,0.0
20050622:1510,513.87,674.49,41.59,26.02,1.72,0.0
20050622:1610,363.48,483.38,32.25,26.03,1.79,0.0
20050622:1710,169.04,256.34,22.84,25.78,2.07,0.0
20050622:1810,55.76,86.57,13.72,25.19,2.14,0.0
20050622:1910,23.31,43.72,5.23,23.75,1.45,0.0
20050622:2010,0.0,0.0,0.0,22.16,1.79,0.0
20050622:2110,0.0,0.0,0.0,20.76,2.07,0.0
20050622:2210,0.0,0.0,0.0,19.81,2.21,0.0
20050622:2310,0.0,0.0,0.0,19.06,2.34,0.0
20050623:0010,0.0,0.0,0.0,18.49,2.41,0.0
20050623:0110,0.0,0.0,0.0,17.96,2.34,0.0
20050623:0210,0.0,0.0,0.0,17.39,2.21,0.0
20050623:0310,0.0,0.0,0.0,16.76,2.14,0.0
20050623:0410,1.64,9.62,4.79,16.23,2.07,0.0
20050623:0510,32.23,54.22,13.24,16.74,1.72,0.0
20050623:0610,123.5,189.89,22.33,19.19,1.72,0.0
20050623:0710,300.65,391.69,31.74,21.41,1.86,0.0
20050623:0810,456.61,587.53,41.09,23.53,1.66,0.0
20050623:0910,590.32,780.21,49.89,25.38,1.38,0.0
20050623:1010,685.24,933.03,57.27,26.81,1.24,0.0
20050623:1110,739.66,1031.34,61.81,27.9,1.1,0.0
20050623:1210,742.29,1044.18,61.94,28.8,1.03,0.0
20050623:1310,710.1,998.02,57.62,29.5,0.9,0.0
20050623:1410,628.41,874.1,50.36,29.96,0.62,0.0
20050623:1510,521.86,714.16,41.61,30.27,0.55,0.0
20050623:1610,320.12,437.07,32.27,30.32,0.76,0.0
20050623:1710,164.92,246.39,22.86,30.1,0.97,0.0
20050623:1810,60.68,94.78,13.74,28.82,0.55,0.0
20050623:1910,22.18,42.85,5.25,27.86,1.38,0.0
20050623:2010,0.0,0.0,0.0,25.78,1.52,0.0
20050623:2110,0.0,0.0,0.0,25.23,0.97,0.0
20050623:2210,0.0,0.0,0.0,24.39,1.03,0.0
20050623:2310,0.0,0.0,0.0,22.77,1.17,0.0
20050624:0010,0.0,0.0,0.0,21.38,1.24,0.0
20050624:0110,0.0,0.0,0.0,19.95,1.45,0.0
20050624:0210,0.0,0.0,0.0,19.16,1.52,0.0
20050624:0310,0.0,0.0,0.0,18.41,1.79,0.0
20050624:0410,0.0,1.75,4.75,17.99,1.72,0.0
20050624:0510,38.62,62.96,13.2,19.04,1.17,0.0
20050624:0610,122.22,184.94,22.29,22.33,0.9,0.0
20050624:0710,283.54,373.49,31.69,23.77,1.79,0.0
20050624:0810,445.94,577.43,41.05,25.67,2.07,0.0
20050624:0910,591.06,779.16,49.85,27.24,2.21,0.0
20050624:1010,696.2,943.73,57.23,28.45,2.0,0.0
20050624:1110,740.13,1030.36,61.78,29.4,1.52,0.0
20050624:1210,735.66,1043.24,61.93,30.06,0.97,0.0
20050624:1310,688.96,975.93,57.63,30.54,0.69,0.0
20050624:1410,596.47,824.8,50.37,30.68,0.83,0.0
20050624:1510,502.5,683.01,41.63,30.97,1.03,0.0
20050624:1610,349.54,478.65,32.3,30.96,1.17,0.0
20050624:1710,164.98,256.94,22.88,30.68,1.31,0.0
20050624:1810,34.36,61.04,13.76,29.7,1.38,0.0
20050624:1910,21.37,41.97,5.27,29.3,0.55,0.0
20050624:2010,0.0,0.0,0.0,28.42,0.34,0.0
20050624:2110,0.0,0.0,0.0,26.15,0.69,0.0
20050624:2210,0.0,0.0,0.0,24.85,0.9,0.0
20050624:2310,0.0,0.0,0.0,22.91,1.17,0.0
20050625:0010,0.0,0.0,0.0,21.63,1.45,0.0
20050625:0110,0.0,0.0,0.0,21.01,2.07,0.0
20050625:0210,0.0,0.0,0.0,21.32,2.83,0.0
20050625:0310,0.0,0.0,0.0,20.97,3.24,0.0
20050625:0410,1.58,9.62,4.71,19.99,2.0,0.0
20050625:0510,5.84,17.49,13.15,19.78,0.9,0.0
20050625:0610,50.07,77.88,22.24,20.58,1.31,0.0
20050625:0710,54.42,83.44,31.64,21.34,2.9,0.0
20050625:0810,181.81,238.74,41.0,22.49,3.17,0.0
20050625:0910,454.8,577.37,49.8,23.37,3.38,0.0
20050625:1010,563.57,723.03,57.19,24.2,3.52,0.0
20050625:1110,482.32,622.42,61.75,25.36,3.24,0.0
20050625:1210,577.67,749.37,61.92,25.36,3.38,0.0
20050625:1310,581.62,747.78,57.63,24.72,3.93,0.0
20050625:1410,393.29,500.36,50.38,24.5,4.55,0.0
20050625:1510,413.71,525.89,41.65,24.52,4.48,0.0
20050625:1610,107.01,149.26,32.31,24.28,4.55,0.0
20050625:1710,161.88,224.03,22.9,23.76,4.62,0.0
20050625:1810,48.74,76.78,13.78,23.08,4.55,0.0
20050625:1910,7.39,20.11,5.28,21.16,4.28,0.0
20050625:2010,0.0,0.0,0.0,20.27,3.52,0.0
20050625:2110,0.0,0.0,0.0,19.45,3.52,0.0
20050625:2210,0.0,0.0,0.0,18.4,3.72,0.0
20050625:2310,0.0,0.0,0.0,17.34,3.72,0.0
20050626:0010,0.0,0.0,0.0,16.48,3.52,0.0
20050626:0110,0.0,0.0,0.0,15.92,3.03,0.0
20050626:0210,0.0,0.0,0.0,15.49,2.69,0.0
20050626:0310,0.0,0.0,0.0,15.09,2.48,0.0
20050626:0410,0.0,0.0,0.0,14.76,2.48,0.0
20050626:0510,6.03,17.49,13.1,14.76,2.9,0.0
20050626:0610,111.02,153.24,22.19,15.21,2.97,0.0
20050626:0710,190.03,242.56,31.59,15.86,3.03,0.0
20050626:0810,308.18,382.36,40.95,16.77,2.9,0.0
20050626:0910,472.53,586.36,49.75,17.83,2.83,0.0
20050626:1010,427.68,535.0,57.14,18.92,2.76,0.0
20050626:1110,751.38,976.4,61.71,20.39,2.55,0.0
20050626:1210,767.9,1007.02,61.9,21.08,2.41,0.0
20050626:1310,710.34,928.91,57.62,22.06,2.34,0.0
20050626:1410,608.13,787.45,50.39,22.48,2.14,0.0
20050626:1510,534.62,691.7,41.66,22.79,1.66,0.0
20050626:1610,344.01,449.85,32.32,22.82,1.45,0.0
20050626:1710,173.4,250.34,22.91,22.93,1.66,0.0
20050626:1810,19.16,40.08,13.79,22.77,2.0,0.0
20050626:1910,23.53,43.72,5.28,22.1,2.21,0.0
20050626:2010,0.0,0.0,0.0,20.64,2.62,0.0
20050626:2110,0.0,0.0,0.0,19.49,2.62,0.0
20050626:2210,0.0,0.0,0.0,18.51,2.69,0.0
20050626:2310,0.0,0.0,0.0,17.66,2.69,0.0
20050627:0010,0.0,0.0,0.0,16.92,2.69,0.0
20050627:0110,0.0,0.0,0.0,16.22,2.55,0.0
20050627:0210,0.0,0.0,0.0,15.54,2.55,0.0
20050627:0310,0.0,0.0,0.0,14.93,2.62,0.0
20050627:0410,0.0,0.0,0.0,14.43,2.55,0.0
20050627:0510,32.58,54.22,13.04,14.76,2.34,0.0
20050627:0610,123.45,186.75,22.13,15.91,2.55,0.0
20050627:0710,302.05,386.52,31.53,17.89,2.14,0.0
20050627:0810,489.33,614.66,40.89,19.98,2.34,0.0
20050627:0910,609.68,777.4,49.69,21.9,2.76,0.0
20050627:1010,721.11,942.16,57.09,23.26,2.69,0.0
20050627:1110,779.95,1042.0,61.67,24.36,2.41,0.0
20050627:1210,768.47,1038.26,61.87,25.26,2.07,0.0
20050627:1310,724.03,976.02,57.61,25.95,1.93,0.0
20050627:1410,644.24,856.9,50.39,26.45,2.0,0.0
20050627:1510,419.19,546.53,41.66,26.49,2.14,0.0
20050627:1610,254.59,337.22,32.33,26.61,2.14,0.0
20050627:1710,171.74,256.07,22.91,26.26,2.55,0.0
20050627:1810,34.81,61.56,13.79,25.53,2.69,0.0
20050627:1910,23.28,43.72,5.28,24.16,2.69,0.0
20050627:2010,0.0,0.0,0.0,22.51,3.1,0.0
20050627:2110,0.0,0.0,0.0,21.26,3.24,0.0
20050627:2210,0.0,0.0,0.0,20.15,3.17,0.0
20050627:2310,0.0,0.0,0.0,19.12,2.9,0.0
20050628:0010,0.0,0.0,0.0,18.14,2.69,0.0
20050628:0110,0.0,0.0,0.0,17.26,2.83,0.0
20050628:0210,0.0,0.0,0.0,16.51,2.9,0.0
20050628:0310,0.0,0.0,0.0,15.88,2.55,0.0
20050628:0410,0.0,0.0,0.0,15.41,2.48,0.0
20050628:0510,14.1,29.73,12.98,15.66,2.48,0.0
20050628:0610,59.12,87.7,22.06,16.67,3.1,0.0
20050628:0710,208.72,268.19,31.47,18.59,3.24,0.0
20050628:0810,267.89,339.1,40.83,20.45,3.66,0.0
20050628:0910,595.18,748.92,49.63,22.24,4.28,0.0
20050628:1010,713.97,919.96,57.03,23.71,3.93,0.0
20050628:1110,764.81,1006.22,61.62,25.0,3.52,0.0
20050628:1210,769.35,1020.36,61.84,26.18,3.52,0.0
20050628:1310,705.43,929.82,57.59,27.1,3.72,0.0
20050628:1410,574.22,747.47,50.38,27.71,3.93,0.0
20050628:1510,400.2,518.74,41.66,27.95,4.0,0.0
20050628:1610,355.26,468.43,32.33,27.74,4.07,0.0
20050628:1710,171.81,259.39,22.91,27.1,4.48,0.0
20050628:1810,68.73,103.38,13.79,25.97,4.41,0.0
20050628:1910,15.21,32.35,5.27,24.53,4.07,0.0
20050628:2010,0.0,0.0,0.0,23.28,3.93,0.0
20050628:2110,0.0,0.0,0.0,22.42,3.72,0.0
20050628:2210,0.0,0.0,0.0,21.68,3.31,0.0
20050628:2310,0.0,0.0,0.0,21.22,3.31,0.0
20050629:0010,0.0,0.0,0.0,20.78,3.03,0.0
20050629:0110,0.0,0.0,0.0,20.24,2.28,0.0
20050629:0210,0.0,0.0,0.0,19.65,0.83,0.0
20050629:0310,0.0,0.0,0.0,19.29,1.38,0.0
20050629:0410,0.0,0.0,0.0,19.1,2.14,0.0
20050629:0510,37.32,61.21,12.91,18.76,1.52,0.0
20050629:0610,119.24,174.22,22.0,19.88,0.97,0.0
20050629:0710,141.57,190.33,31.4,20.54,0.55,0.0
20050629:0810,314.19,404.32,40.76,22.13,1.03,0.0
20050629:0910,608.28,784.83,49.56,22.73,2.14,0.0
20050629:1010,680.46,908.31,56.96,22.88,1.1,0.0
20050629:1110,682.01,928.1,61.56,24.08,0.76,0.0
20050629:1210,700.01,971.33,61.79,25.3,0.48,0.0
20050629:1310,44.27,72.31,57.57,26.25,0.34,0.0
20050629:1410,39.29,65.82,50.37,26.59,0.76,0.0
20050629:1510,32.31,56.55,41.66,26.74,1.03,0.0
20050629:1610,24.5,45.43,32.33,24.26,1.93,0.0
20050629:1710,15.54,32.45,22.91,21.33,2.48,0.0
20050629:1810,7.59,20.4,13.78,20.32,0.83,0.0
20050629:1910,2.89,12.24,5.26,19.68,2.0,0.0
20050629:2010,0.0,0.0,0.0,19.21,2.07,0.0
20050629:2110,0.0,0.0,0.0,18.94,1.66,0.0
20050629:2210,0.0,0.0,0.0,18.67,1.86,0.0
20050629:2310,0.0,0.0,0.0,18.26,1.93,0.0
20050630:0010,0.0,0.0,0.0,17.85,1.93,0.0
20050630:0110,0.0,0.0,0.0,17.24,2.34,0.0
20050630:0210,0.0,0.0,0.0,16.84,2.41,0.0
20050630:0310,0.0,0.0,0.0,16.5,2.21,0.0
20050630:0410,0.0,0.0,0.0,16.06,2.28,0.0
20050630:0510,24.91,44.6,12.84,16.38,2.14,0.0
20050630:0610,121.7,181.47,21.92,17.28,2.41,0.0
20050630:0710,288.95,367.41,31.33,17.64,3.1,0.0
20050630:0810,458.97,568.98,40.69,18.75,3.24,0.0
20050630:0910,618.91,775.11,49.49,19.96,3.59,0.0
20050630:1010,319.07,402.2,56.89,21.11,4.28,0.0
20050630:1110,673.09,857.8,61.5,21.95,4.14,0.0
20050630:1210,484.9,614.34,61.75,22.29,3.72,0.0
20050630:1310,444.48,554.88,57.54,20.45,4.48,0.0
20050630:1410,172.42,223.43,50.35,18.87,4.21,0.0
20050630:1510,70.65,101.98,41.64,17.78,3.03,0.0
20050630:1610,129.09,171.49,32.32,17.31,2.48,0.0
20050630:1710,180.75,257.43,22.9,17.6,3.1,0.0
20050630:1810,41.81,69.07,13.76,17.75,2.83,0.0
20050630:1910,0.83,7.87,5.24,17.79,0.83,0.0
20050630:2010,0.0,0.0,0.0,16.9,1.24,0.0
20050630:2110,0.0,0.0,0.0,16.24,1.86,0.0
20050630:2210,0.0,0.0,0.0,15.49,2.0,0.0
20050630:2310,0.0,0.0,0.0,14.81,2.14,0.0
20050701:0010,0.0,0.0,0.0,14.47,2.28,0.0
20050701:0110,0.0,0.0,0.0,14.17,2.28,0.0
20050701:0210,0.0,0.0,0.0,13.98,2.62,0.0
20050701:0310,0.0,0.0,0.0,14.07,3.03,0.0
20050701:0410,0.0,0.0,0.0,14.21,3.38,0.0
20050701:0510,1.66,9.62,12.76,14.56,3.72,0.0
20050701:0610,82.07,115.01,21.85,14.75,4.34,0.0
20050701:0710,220.83,277.61,31.25,15.24,4.9,0.0
20050701:0810,348.08,423.59,40.61,16.07,5.86,0.0
20050701:0910,406.74,496.34,49.41,17.43,5.79,0.0
20050701:1010,489.42,601.21,56.82,18.63,5.59,0.0
20050701:1110,199.81,256.18,61.43,19.73,5.59,0.0
20050701:1210,634.75,790.54,61.69,20.25,5.72,0.0
20050701:1310,404.19,501.83,57.5,20.36,5.86,0.0
20050701:1410,623.8,773.68,50.32,20.23,5.66,0.0
20050701:1510,464.9,576.47,41.63,20.4,5.24,0.0
20050701:1610,213.61,273.84,32.3,20.06,4.9,0.0
20050701:1710,105.64,144.75,22.88,18.88,4.69,0.0
20050701:1810,44.74,70.46,13.74,18.61,3.24,0.0
20050701:1910,10.93,25.36,5.22,18.1,3.59,0.0
20050701:2010,0.0,0.0,0.0,17.4,3.17,0.0
20050701:2110,0.0,0.0,0.0,17.07,3.03,0.0
20050701:2210,0.0,0.0,0.0,16.71,2.9,0.0
20050701:2310,0.0,0.0,0.0,16.72,2.83,0.0
20050702:0010,0.0,0.0,0.0,16.64,2.69,0.0
20050702:0110,0.0,0.0,0.0,16.61,2.55,0.0
20050702:0210,0.0,0.0,0.0,16.59,2.48,0.0
20050702:0310,0.0,0.0,0.0,16.58,2.55,0.0
20050702:0410,0.0,0.0,0.0,16.56,2.62,0.0
20050702:0510,5.96,17.49,12.68,16.59,2.62,0.0
20050702:0610,23.42,42.65,21.77,16.63,2.55,0.0
20050702:0710,100.4,137.16,31.17,16.77,2.48,0.0
20050702:0810,220.74,279.19,40.53,16.96,2.62,0.0
20050702:0910,191.35,244.73,49.33,17.36,3.17,0.0
20050702:1010,271.11,340.96,56.74,17.93,2.83,0.0
20050702:1110,191.51,246.61,61.35,18.49,2.76,0.0
20050702:1210,277.8,350.96,61.63,19.32,3.24,0.0
20050702:1310,140.2,186.35,57.45,19.77,3.17,0.0
20050702:1410,78.23,112.18,50.29,20.02,2.9,0.0
20050702:1510,146.14,193.77,41.6,20.01,2.9,0.0
20050702:1610,101.25,139.99,32.28,20.08,2.97,0.0
20050702:1710,104.73,144.76,22.86,20.01,2.76,0.0
20050702:1810,59.91,89.91,13.72,19.82,2.14,0.0
20050702:1910,10.9,25.36,5.19,18.46,1.45,0.0
20050702:2010,0.0,0.0,0.0,18.2,1.31,0.0
20050702:2110,0.0,0.0,0.0,17.97,1.38,0.0
20050702:2210,0.0,0.0,0.0,17.78,1.45,0.0
20050702:2310,0.0,0.0,0.0,17.69,1.52,0.0
20050703:0010,0.0,0.0,0.0,17.59,1.72,0.0
20050703:0110,0.0,0.0,0.0,17.45,1.86,0.0
20050703:0210,0.0,0.0,0.0,17.24,1.79,0.0
20050703:0310,0.0,0.0,0.0,16.86,1.72,0.0
20050703:0410,0.0,0.0,0.0,16.24,1.72,0.0
20050703:0510,19.66,37.6,12.59,16.57,1.24,0.0
20050703:0610,117.4,173.03,21.68,17.86,1.17,0.0
20050703:0710,255.76,330.52,31.09,19.17,1.52,0.0
20050703:0810,450.93,568.98,40.44,20.51,2.07,0.0
20050703:0910,475.48,602.26,49.24,22.08,2.83,0.0
20050703:1010,408.57,518.64,56.65,22.93,3.45,0.0
20050703:1110,554.54,709.28,61.27,23.59,3.66,0.0
20050703:1210,624.6,803.27,61.56,24.14,4.0,0.0
20050703:1310,431.21,551.28,57.4,24.66,3.86,0.0
20050703:1410,422.77,542.36,50.26,24.86,3.24,0.0
20050703:1510,431.18,556.22,41.57,25.09,2.55,0.0
20050703:1610,320.2,420.49,32.25,25.12,2.07,0.0
20050703:1710,173.18,255.26,22.83,24.95,1.79,0.0
20050703:1810,33.26,60.72,13.69,24.45,1.24,0.0
20050703:1910,20.88,40.23,5.15,22.98,1.79,0.0
20050703:2010,0.0,0.0,0.0,21.43,2.21,0.0
20050703:2110,0.0,0.0,0.0,20.37,2.34,0.0
20050703:2210,0.0,0.0,0.0,19.78,2.28,0.0
20050703:2310,0.0,0.0,0.0,19.38,2.41,0.0
20050704:0010,0.0,0.0,0.0,19.1,2.62,0.0
20050704:0110,0.0,0.0,0.0,19.11,2.69,0.0
20050704:0210,0.0,0.0,0.0,19.05,2.9,0.0
20050704:0310,0.0,0.0,0.0,19.04,3.17,0.0
20050704:0410,0.0,0.0,0.0,18.94,3.45,0.0
20050704:0510,23.89,43.72,12.5,19.38,3.66,0.0
20050704:0610,115.46,170.15,21.59,20.41,3.59,0.0
20050704:0710,158.89,210.21,31.0,20.05,1.79,0.0
20050704:0810,36.17,60.26,40.35,21.03,1.93,0.0
20050704:0910,54.19,83.44,49.15,22.04,2.34,0.0
20050704:1010,72.55,105.69,56.56,21.14,3.52,0.0
20050704:1110,121.72,164.1,61.18,19.96,4.34,0.0
20050704:1210,69.85,100.13,61.48,16.53,8.34,0.0
20050704:1310,47.16,72.31,57.35,14.99,5.86,0.0
20050704:1410,406.6,492.89,50.21,16.67,7.52,0.0
20050704:1510,465.32,564.72,41.54,17.79,7.59,0.0
20050704:1610,345.61,427.76,32.22,17.51,7.72,0.0
20050704:1710,181.88,256.84,22.8,17.13,7.1,0.0
20050704:1810,28.91,53.7,13.65,16.6,6.28,0.0
20050704:1910,23.02,41.97,5.11,15.98,4.9,0.0
20050704:2010,0.0,0.0,0.0,15.21,4.83,0.0
20050704:2110,0.0,0.0,0.0,14.3,4.62,0.0
20050704:2210,0.0,0.0,0.0,13.51,4.48,0.0
20050704:2310,0.0,0.0,0.0,13.08,4.34,0.0
20050705:0010,0.0,0.0,0.0,12.68,4.41,0.0
20050705:0110,0.0,0.0,0.0,12.23,4.55,0.0
20050705:0210,0.0,0.0,0.0,11.91,4.55,0.0
20050705:0310,0.0,0.0,0.0,11.58,4.48,0.0
20050705:0410,0.0,0.0,0.0,11.33,4.28,0.0
20050705:0510,28.28,48.1,12.41,11.68,3.79,0.0
20050705:0610,117.53,177.81,21.5,12.45,4.34,0.0
20050705:0710,298.82,370.18,30.91,13.3,5.24,0.0
20050705:0810,409.44,493.39,40.26,14.53,5.1,0.0
20050705:0910,438.31,530.11,49.06,15.24,5.03,0.0
20050705:1010,107.67,144.63,56.46,15.74,4.83,0.0
20050705:1110,63.53,92.71,61.08,16.39,4.41,0.0
20050705:1210,277.55,346.04,61.4,17.0,3.93,0.0
20050705:1310,281.79,352.0,57.28,17.27,3.45,0.0
20050705:1410,450.91,557.97,50.16,17.73,3.45,0.0
20050705:1510,492.1,609.13,41.5,18.19,3.66,0.0
20050705:1610,362.75,457.56,32.18,18.28,3.45,0.0
20050705:1710,179.53,262.43,22.76,18.2,3.31,0.0
20050705:1810,29.24,54.54,13.61,17.81,2.69,0.0
20050705:1910,20.91,39.35,5.06,17.04,2.07,0.0
20050705:2010,0.0,0.0,0.0,15.68,2.69,0.0
20050705:2110,0.0,0.0,0.0,14.89,3.31,0.0
20050705:2210,0.0,0.0,0.0,14.99,3.66,0.0
20050705:2310,0.0,0.0,0.0,14.84,4.0,0.0
20050706:0010,0.0,0.0,0.0,13.74,4.55,0.0
20050706:0110,0.0,0.0,0.0,13.05,4.69,0.0
20050706:0210,0.0,0.0,0.0,12.65,4.55,0.0
20050706:0310,0.0,0.0,0.0,12.88,4.14,0.0
20050706:0410,0.0,0.0,0.0,13.27,3.79,0.0
20050706:0510,34.84,56.84,12.31,13.84,3.52,0.0
20050706:0610,105.57,146.46,21.4,14.34,3.72,0.0
20050706:0710,193.98,246.06,30.81,15.16,4.14,0.0
20050706:0810,298.04,367.0,40.16,16.04,4.21,0.0
20050706:0910,155.97,202.11,48.96,16.85,4.28,0.0
20050706:1010,194.85,248.74,56.35,17.79,4.34,0.0
20050706:1110,537.32,664.02,60.98,17.92,4.34,0.0
20050706:1210,120.51,161.32,61.31,18.07,4.41,0.0
20050706:1310,767.01,966.05,57.21,18.69,4.28,0.0
20050706:1410,134.1,178.0,50.11,18.98,4.62,0.0
20050706:1510,122.28,163.17,41.45,18.04,5.45,0.0
20050706:1610,138.19,180.76,32.14,16.11,4.07,0.0
20050706:1710,91.36,125.76,22.72,15.84,4.07,0.0
20050706:1810,43.29,67.68,13.56,15.28,4.41,0.0
20050706:1910,6.04,17.49,5.0,14.62,3.52,0.0
20050706:2010,0.0,0.0,0.0,13.97,3.45,0.0
20050706:2110,0.0,0.0,0.0,13.36,2.97,0.0
20050706:2210,0.0,0.0,0.0,12.81,2.55,0.0
20050706:2310,0.0,0.0,0.0,12.47,2.76,0.0
